Brand,Model,Launch Year,Segment,Fuel Type,Fuel_Type_Group,Variants,Minimum_Price (Lakhs),Maximum_Price (Lakhs),Average_price(Lakhs),Price_INR,Price_Category,Is EV?,Performance,,Notable Features
Honda,Amaze,2019,Sedan,Petrol,Petrol,12,6,15,10.5,1050000,Mid Range,No,20.1 kmpl,20.1,"Hill Hold, ABS, Cruise Control, Leather Seats, AC, Power Windows, Voice Control"
Nissan,Magnite,2019,Electric Hatchback,Petrol,Petrol,3,6,12,9.0,900000,Mid Range,No,24.1 kmpl,24.1,"360 Camera, Hill Hold, Ventilated Seats, Leather Seats, Sunroof, Apple CarPlay"
Tata,Harrier,2015,Compact SUV,Petrol/CNG,Hybrid,22,7,18,12.5,1250000,Mid Range,No,22.0 kmpl,22,"TPMS, ADAS, EBD, Sunroof, Touchscreen, Cruise Control, AC, Power Windows, Wireless Charging, HUD, Apple CarPlay"
MG,Astor,2022,Electric Hatchback,Petrol,Petrol,20,6,12,9.0,900000,Mid Range,No,21.4 kmpl,21.4,"EBD, Airbags, ADAS, Cruise Control, Ventilated Seats, Power Windows, Leather Seats, Android Auto, Apple CarPlay, Voice Control"
Nissan,Kicks,2015,SUV,Diesel,Diesel,3,10,30,20.0,2000000,Upper Mid,No,25.2 kmpl,25.2,"Airbags, ABS, AC, Ventilated Seats, Touchscreen, Sunroof, Leather Seats, Android Auto, Connected Car"
Lexus,NX,2020,Compact SUV,Petrol,Petrol,19,7,18,12.5,1250000,Mid Range,No,21.5 kmpl,21.5,"EBD, TPMS, 360 Camera, Airbags, Touchscreen, AC, Leather Seats, Ventilated Seats, Power Windows, Voice Control, Android Auto, Wireless Charging"
Force,Gurkha,2020,SUV,Petrol,Petrol,25,10,30,20.0,2000000,Upper Mid,No,15.6 kmpl,15.6,"Hill Hold, TPMS, Ventilated Seats, Touchscreen, AC, Power Windows, Sunroof, Android Auto, Wireless Charging, HUD"
MG,Hector,2017,Hatchback,Petrol,Petrol,8,3.5,8.5,6.0,600000,Entry Level,No,19.0 kmpl,19,"Airbags, ABS, ESC, Leather Seats, Cruise Control, AC, Power Windows, Android Auto, Voice Control"
Mahindra,Scorpio,2017,Electric SUV,Petrol,Petrol,11,12,25,18.5,1850000,Upper Mid,No,16.2 kmpl,16.2,"Hill Hold, ABS, ESC, TPMS, Touchscreen, Ventilated Seats, AC, Android Auto"
Skoda,Slavia,2017,Compact SUV,Petrol,Petrol,14,7,18,12.5,1250000,Mid Range,No,24.1 kmpl,24.1,"ESC, TPMS, 360 Camera, Power Windows, Cruise Control, Touchscreen, Ventilated Seats, Wireless Charging, Voice Control"
Kia,EV6,2021,SUV,Diesel,Diesel,8,10,30,20.0,2000000,Upper Mid,No,26.1 kmpl,26.1,"EBD, ESC, Power Windows, Cruise Control, Leather Seats, AC, Voice Control, Connected Car"
Volkswagen,Virtus,2017,Electric SUV,Petrol,Petrol,13,12,25,18.5,1850000,Upper Mid,No,22.2 kmpl,22.2,"Hill Hold, ESC, ABS, EBD, Power Windows, Cruise Control, Ventilated Seats, Sunroof, Touchscreen, HUD, Wireless Charging, Apple CarPlay"
Lexus,RX,2022,Hatchback,Diesel,Diesel,11,3.5,8.5,6.0,600000,Entry Level,No,24.2 kmpl,24.2,"ESC, 360 Camera, ABS, Power Windows, Ventilated Seats, Touchscreen, Leather Seats, AC, Connected Car, HUD"
Mercedes,C-Class,2015,Compact SUV,Petrol,Petrol,1,7,18,12.5,1250000,Mid Range,No,18.2 kmpl,18.2,"360 Camera, ADAS, Leather Seats, Touchscreen, Cruise Control, HUD"
Mahindra,XUV 300,2016,Electric Hatchback,Petrol,Petrol,8,6,12,9.0,900000,Mid Range,No,16.4 kmpl,16.4,"ADAS, EBD, ESC, 360 Camera, AC, Touchscreen, Leather Seats, Sunroof, Ventilated Seats, HUD, Voice Control, Android Auto"
Renault,Kwid,2015,Hatchback,Electric,EV,4,4.2,11.05,7.6,762500,Entry Level,Yes,326 km range,326,"ESC, ABS, 360 Camera, ADAS, Leather Seats, Touchscreen, Sunroof, Power Windows, Connected Car, Apple CarPlay, Android Auto"
Mahindra,Bolero,2019,Compact SUV,Petrol,Petrol,14,7,18,12.5,1250000,Mid Range,No,24.3 kmpl,24.3,"ABS, 360 Camera, Touchscreen, Cruise Control, Leather Seats, Wireless Charging, Android Auto"
Maruti Suzuki,Wagon R,2021,Compact SUV,Diesel,Diesel,23,7,18,12.5,1250000,Mid Range,No,19.2 kmpl,19.2,"ABS, Airbags, Leather Seats, Sunroof, Cruise Control, Android Auto, HUD"
BYD,E6,2021,Compact SUV,Petrol/Diesel,Hybrid,10,7,18,12.5,1250000,Mid Range,No,18.9 kmpl,18.9,"Hill Hold, ADAS, Cruise Control, Power Windows, Ventilated Seats, Touchscreen, Leather Seats, Wireless Charging, Connected Car"
Skoda,Slavia,2018,SUV,Petrol,Petrol,11,10,30,20.0,2000000,Upper Mid,No,20.0 kmpl,20,"EBD, ABS, 360 Camera, Leather Seats, Cruise Control, Power Windows, Apple CarPlay, Connected Car, HUD"
Mahindra,XUV 700,2019,Compact SUV,Petrol,Petrol,22,7,18,12.5,1250000,Mid Range,No,23.8 kmpl,23.8,"Airbags, Hill Hold, EBD, AC, Sunroof, Power Windows, Ventilated Seats, Touchscreen, HUD, Connected Car"
BMW,3 Series,2021,Hatchback,Diesel,Diesel,24,3.5,8.5,6.0,600000,Entry Level,No,27.9 kmpl,27.9,"Airbags, ESC, Leather Seats, AC, Touchscreen, Apple CarPlay"
Mahindra,Marazzo,2017,Hatchback,Petrol,Petrol,15,3.5,8.5,6.0,600000,Entry Level,No,19.1 kmpl,19.1,"360 Camera, EBD, TPMS, Cruise Control, Power Windows, AC, Android Auto"
Volkswagen,Virtus,2018,MPV,Petrol,Petrol,20,8,20,14.0,1400000,Mid Range,No,17.8 kmpl,17.8,"Hill Hold, TPMS, Sunroof, Leather Seats, Ventilated Seats, Cruise Control, Voice Control"
Lexus,ES,2017,Hatchback,Petrol,Petrol,11,3.5,8.5,6.0,600000,Entry Level,No,16.9 kmpl,16.9,"ABS, ADAS, TPMS, Sunroof, Ventilated Seats, Cruise Control, Voice Control, Android Auto, HUD"
BMW,X1,2020,SUV,Petrol,Petrol,8,10,30,20.0,2000000,Upper Mid,No,24.0 kmpl,24,"ADAS, TPMS, AC, Power Windows, Cruise Control, Touchscreen, Android Auto, Voice Control, Connected Car"
Kia,Carens,2020,Electric Hatchback,Petrol/CNG,Hybrid,1,6,12,9.0,900000,Mid Range,No,23.0 kmpl,23,"TPMS, 360 Camera, ADAS, Ventilated Seats, Leather Seats, Power Windows, Cruise Control, Voice Control"
Citroen,C5 Aircross,2021,Sedan,Diesel,Diesel,18,6,15,10.5,1050000,Mid Range,No,19.4 kmpl,19.4,"EBD, ESC, ADAS, AC, Power Windows, Leather Seats, Touchscreen, HUD"
Citroen,C3,2020,Sedan,Petrol,Petrol,21,6,15,10.5,1050000,Mid Range,No,22.4 kmpl,22.4,"360 Camera, Hill Hold, TPMS, ADAS, Touchscreen, Leather Seats, Power Windows, Sunroof, AC, Apple CarPlay"
Toyota,Urban Cruiser,2022,Hatchback,Petrol,Petrol,23,3.5,8.5,6.0,600000,Entry Level,No,24.4 kmpl,24.4,"Airbags, 360 Camera, TPMS, ADAS, Leather Seats, Power Windows, Cruise Control, Voice Control, Wireless Charging"
Tata,Tiago,2016,Electric Hatchback,Petrol/CNG,Hybrid,21,6,12,9.0,900000,Mid Range,No,21.6 kmpl,21.6,"ABS, Airbags, Sunroof, Touchscreen, AC, HUD, Wireless Charging"
Toyota,Camry,2023,Hatchback,Petrol/CNG,Hybrid,2,3.5,8.5,6.0,600000,Entry Level,No,20.5 kmpl,20.5,"ABS, 360 Camera, TPMS, Hill Hold, Ventilated Seats, Leather Seats, Sunroof, Wireless Charging, Voice Control"
Toyota,Fortuner,2020,Electric SUV,Petrol,Petrol,4,12,25,18.5,1850000,Upper Mid,No,23.1 kmpl,23.1,"TPMS, EBD, Leather Seats, Ventilated Seats, Sunroof, Touchscreen, AC, Wireless Charging, Voice Control"
Toyota,Hilux,2016,Luxury,Petrol,Petrol,7,30,100,65.0,6500000,Luxury,No,16.5 kmpl,16.5,"ABS, ADAS, Ventilated Seats, Touchscreen, Power Windows, Cruise Control, Sunroof, Connected Car"
Lexus,RX,2022,Hatchback,Petrol,Petrol,12,3.5,8.5,6.0,600000,Entry Level,No,19.0 kmpl,19,"ESC, EBD, ADAS, Sunroof, Ventilated Seats, Leather Seats, Power Windows, Touchscreen, Connected Car, Android Auto, HUD"
MG,Gloster,2022,SUV,Petrol,Petrol,15,10,30,20.0,2000000,Upper Mid,No,15.2 kmpl,15.2,"360 Camera, TPMS, Touchscreen, Sunroof, Power Windows, Connected Car"
Tata,Tiago,2019,Hatchback,Petrol,Petrol,16,3.5,8.5,6.0,600000,Entry Level,No,23.9 kmpl,23.9,"Hill Hold, ESC, Leather Seats, Sunroof, AC, Power Windows, Ventilated Seats, HUD, Apple CarPlay, Voice Control"
Citroen,C5 Aircross,2017,MPV,Petrol/CNG,Hybrid,5,8,20,14.0,1400000,Mid Range,No,25.5 kmpl,25.5,"EBD, Hill Hold, ADAS, ESC, AC, Leather Seats, Ventilated Seats, Power Windows, Connected Car, Android Auto"
Citroen,C5 Aircross,2020,Hatchback,Diesel,Diesel,21,3.5,8.5,6.0,600000,Entry Level,No,27.7 kmpl,27.7,"TPMS, EBD, Hill Hold, Cruise Control, Leather Seats, Sunroof, Apple CarPlay, Wireless Charging"
Force,Gurkha,2022,Compact SUV,Petrol,Petrol,8,7,18,12.5,1250000,Mid Range,No,22.5 kmpl,22.5,"ADAS, Hill Hold, Leather Seats, AC, Sunroof, Cruise Control, Android Auto"
Tata,Tigor,2019,Sedan,Diesel,Diesel,23,6,15,10.5,1050000,Mid Range,No,23.4 kmpl,23.4,"ABS, Airbags, 360 Camera, Leather Seats, Sunroof, Power Windows, AC, Touchscreen, Connected Car, Wireless Charging"
Hyundai,Exter,2019,Compact SUV,Petrol,Petrol,5,7,18,12.5,1250000,Mid Range,No,24.4 kmpl,24.4,"ESC, 360 Camera, Power Windows, Leather Seats, Cruise Control, Android Auto"
MG,Hector,2021,Electric Hatchback,Petrol,Petrol,25,6,12,9.0,900000,Mid Range,No,15.4 kmpl,15.4,"Airbags, ADAS, TPMS, ESC, Ventilated Seats, Sunroof, Touchscreen, Cruise Control, Leather Seats, Voice Control, Android Auto, Connected Car"
Audi,Q3,2015,SUV,Petrol,Petrol,4,10,30,20.0,2000000,Upper Mid,No,24.7 kmpl,24.7,"ADAS, ESC, ABS, Sunroof, Power Windows, Ventilated Seats, Connected Car"
Hyundai,Exter,2021,SUV,Diesel,Diesel,3,10,30,20.0,2000000,Upper Mid,No,24.1 kmpl,24.1,"ABS, 360 Camera, Cruise Control, Leather Seats, Ventilated Seats, Wireless Charging, Android Auto"
Honda,WR-V,2022,SUV,Petrol,Petrol,8,10,30,20.0,2000000,Upper Mid,No,16.7 kmpl,16.7,"Airbags, Hill Hold, Ventilated Seats, AC, Sunroof, Cruise Control, Touchscreen, Voice Control, Android Auto, HUD"
BYD,Atto 3,2015,Sedan,Electric,EV,11,7.2,19.5,13.4,1335000,Mid Range,Yes,261 km range,261,"TPMS, 360 Camera, Cruise Control, Sunroof, Leather Seats, AC, Power Windows, Connected Car"
Skoda,Slavia,2021,Compact SUV,Petrol,Petrol,10,7,18,12.5,1250000,Mid Range,No,17.0 kmpl,17,"Airbags, ESC, ABS, TPMS, Sunroof, Cruise Control, Power Windows, Ventilated Seats, Touchscreen, Connected Car, HUD"
Jeep,Meridian,2015,Hatchback,Petrol,Petrol,15,3.5,8.5,6.0,600000,Entry Level,No,22.4 kmpl,22.4,"TPMS, ADAS, ABS, EBD, Leather Seats, Sunroof, Cruise Control, Touchscreen, AC, Android Auto, Apple CarPlay, Wireless Charging"
Citroen,C3,2017,SUV,Petrol/Diesel,Hybrid,18,10,30,20.0,2000000,Upper Mid,No,15.7 kmpl,15.7,"360 Camera, TPMS, EBD, Power Windows, Ventilated Seats, Leather Seats, Voice Control, Wireless Charging, Android Auto"
MG,ZS EV,2015,Hatchback,Petrol/CNG,Hybrid,15,3.5,8.5,6.0,600000,Entry Level,No,25.9 kmpl,25.9,"ABS, ADAS, Cruise Control, AC, Touchscreen, Voice Control, HUD, Connected Car"
MG,ZS EV,2017,Electric SUV,Petrol,Petrol,3,12,25,18.5,1850000,Upper Mid,No,23.3 kmpl,23.3,"ADAS, Hill Hold, Airbags, Power Windows, Cruise Control, Sunroof, AC, Ventilated Seats, Voice Control, Android Auto, Wireless Charging"
Nissan,Kicks,2020,Sedan,Diesel,Diesel,8,6,15,10.5,1050000,Mid Range,No,19.5 kmpl,19.5,"EBD, ESC, ABS, Sunroof, Power Windows, AC, Cruise Control, HUD, Apple CarPlay"
Tata,Nexon,2016,MPV,Petrol,Petrol,12,8,20,14.0,1400000,Mid Range,No,15.8 kmpl,15.8,"Airbags, TPMS, Power Windows, Leather Seats, Cruise Control, Sunroof, Wireless Charging, HUD, Voice Control"
Force,Gurkha,2020,SUV,Petrol,Petrol,1,10,30,20.0,2000000,Upper Mid,No,18.2 kmpl,18.2,"EBD, ADAS, Hill Hold, Airbags, Ventilated Seats, AC, Touchscreen, Cruise Control, HUD"
Volkswagen,Virtus,2020,SUV,Diesel,Diesel,12,10,30,20.0,2000000,Upper Mid,No,27.2 kmpl,27.2,"ABS, ESC, ADAS, EBD, Sunroof, Leather Seats, Cruise Control, Touchscreen, Ventilated Seats, Voice Control"
BYD,E6,2016,Hatchback,Petrol,Petrol,23,3.5,8.5,6.0,600000,Entry Level,No,15.7 kmpl,15.7,"360 Camera, ESC, TPMS, AC, Sunroof, Power Windows, Ventilated Seats, HUD, Apple CarPlay, Wireless Charging"
MG,Astor,2020,SUV,Petrol,Petrol,14,10,30,20.0,2000000,Upper Mid,No,16.7 kmpl,16.7,"EBD, ADAS, ABS, Touchscreen, AC, Sunroof, Wireless Charging, Connected Car"
Renault,Kiger,2016,Hatchback,Petrol/CNG,Hybrid,13,3.5,8.5,6.0,600000,Entry Level,No,28.0 kmpl,28,"ABS, ADAS, AC, Ventilated Seats, Leather Seats, Power Windows, Cruise Control, Voice Control, Connected Car, Wireless Charging"
MG,Hector,2020,Hatchback,Diesel,Diesel,8,3.5,8.5,6.0,600000,Entry Level,No,24.3 kmpl,24.3,"TPMS, ABS, Touchscreen, Leather Seats, Cruise Control, Ventilated Seats, HUD"
Tata,Nexon,2020,Hatchback,Petrol,Petrol,9,3.5,8.5,6.0,600000,Entry Level,No,22.5 kmpl,22.5,"ADAS, EBD, 360 Camera, ESC, Sunroof, Touchscreen, AC, Leather Seats, Ventilated Seats, Voice Control, HUD"
Jeep,Meridian,2018,Compact SUV,Petrol/CNG,Hybrid,10,7,18,12.5,1250000,Mid Range,No,29.5 kmpl,29.5,"ABS, ADAS, Hill Hold, 360 Camera, Ventilated Seats, Cruise Control, Sunroof, Power Windows, HUD, Connected Car, Apple CarPlay"
Audi,A4,2015,Hatchback,Petrol,Petrol,12,3.5,8.5,6.0,600000,Entry Level,No,24.3 kmpl,24.3,"ESC, TPMS, Hill Hold, Leather Seats, Cruise Control, Touchscreen, Android Auto, Apple CarPlay"
Kia,Sonet,2022,Compact SUV,Petrol,Petrol,21,7,18,12.5,1250000,Mid Range,No,20.6 kmpl,20.6,"TPMS, ESC, ADAS, EBD, Leather Seats, Ventilated Seats, AC, Power Windows, Connected Car"
Mercedes,GLA,2015,Sedan,Petrol,Petrol,5,6,15,10.5,1050000,Mid Range,No,17.7 kmpl,17.7,"ADAS, 360 Camera, EBD, AC, Ventilated Seats, Sunroof, Cruise Control, Power Windows, Android Auto"
Mercedes,A-Class,2019,Hatchback,Diesel,Diesel,23,3.5,8.5,6.0,600000,Entry Level,No,19.3 kmpl,19.3,"ADAS, TPMS, EBD, ESC, Sunroof, Touchscreen, Cruise Control, Leather Seats, Power Windows, HUD"
Volkswagen,Polo,2022,Hatchback,Diesel,Diesel,2,3.5,8.5,6.0,600000,Entry Level,No,27.0 kmpl,27,"Airbags, ADAS, EBD, ESC, AC, Touchscreen, Power Windows, Android Auto, HUD, Wireless Charging"
Hyundai,Alcazar,2022,Electric SUV,Electric,EV,7,14.4,32.5,23.5,2345000,Upper Mid,Yes,266 km range,266,"Hill Hold, ADAS, TPMS, Power Windows, Leather Seats, Ventilated Seats, HUD, Wireless Charging"
BMW,3 Series,2019,SUV,Petrol/CNG,Hybrid,11,10,30,20.0,2000000,Upper Mid,No,24.7 kmpl,24.7,"360 Camera, TPMS, ADAS, EBD, Cruise Control, Touchscreen, Ventilated Seats, Voice Control, Apple CarPlay"
Audi,A4,2015,Compact SUV,Petrol,Petrol,8,7,18,12.5,1250000,Mid Range,No,20.0 kmpl,20,"EBD, Airbags, TPMS, ABS, Touchscreen, Leather Seats, Ventilated Seats, AC, Android Auto, Connected Car"
MG,ZS EV,2015,SUV,Petrol/CNG,Hybrid,5,10,30,20.0,2000000,Upper Mid,No,29.8 kmpl,29.8,"ABS, EBD, 360 Camera, AC, Touchscreen, Power Windows, Leather Seats, Sunroof, Voice Control"
Maruti Suzuki,Ertiga,2016,Electric Hatchback,Petrol,Petrol,18,6,12,9.0,900000,Mid Range,No,16.5 kmpl,16.5,"360 Camera, Hill Hold, AC, Ventilated Seats, Power Windows, HUD, Wireless Charging"
Mercedes,GLA,2020,Sedan,Petrol,Petrol,2,6,15,10.5,1050000,Mid Range,No,21.0 kmpl,21,"Hill Hold, TPMS, ABS, Leather Seats, Cruise Control, AC, Sunroof, Power Windows, Android Auto"
BMW,X1,2016,Compact SUV,Petrol,Petrol,7,7,18,12.5,1250000,Mid Range,No,20.3 kmpl,20.3,"ESC, Airbags, ADAS, TPMS, Power Windows, AC, Ventilated Seats, Leather Seats, Cruise Control, Wireless Charging"
